units,dtdate,date,mon,yr
,02JAN2004:08:00:00,02JAN2004,1,2004
1940,02JAN2004:09:00:00,02JAN2004,1,2004
,02JAN2004:10:00:00,02JAN2004,1,2004
3147,02JAN2004:11:00:00,02JAN2004,1,2004
,02JAN2004:12:00:00,02JAN2004,1,2004
,02JAN2004:13:00:00,02JAN2004,1,2004
,02JAN2004:14:00:00,02JAN2004,1,2004
,02JAN2004:15:00:00,02JAN2004,1,2004
,02JAN2004:16:00:00,02JAN2004,1,2004
,02JAN2004:17:00:00,02JAN2004,1,2004
,02JAN2004:18:00:00,02JAN2004,1,2004
,02JAN2004:19:00:00,02JAN2004,1,2004
,02JAN2004:20:00:00,02JAN2004,1,2004
,05JAN2004:08:00:00,05JAN2004,1,2004
,05JAN2004:09:00:00,05JAN2004,1,2004
2681,05JAN2004:10:00:00,05JAN2004,1,2004
,05JAN2004:11:00:00,05JAN2004,1,2004
,05JAN2004:12:00:00,05JAN2004,1,2004
,05JAN2004:13:00:00,05JAN2004,1,2004
,05JAN2004:14:00:00,05JAN2004,1,2004
,05JAN2004:15:00:00,05JAN2004,1,2004
,05JAN2004:16:00:00,05JAN2004,1,2004
,05JAN2004:17:00:00,05JAN2004,1,2004
,05JAN2004:18:00:00,05JAN2004,1,2004
,05JAN2004:19:00:00,05JAN2004,1,2004
,05JAN2004:20:00:00,05JAN2004,1,2004
368,06JAN2004:08:00:00,06JAN2004,1,2004
1641,06JAN2004:09:00:00,06JAN2004,1,2004
1920,06JAN2004:10:00:00,06JAN2004,1,2004
,06JAN2004:11:00:00,06JAN2004,1,2004
,06JAN2004:12:00:00,06JAN2004,1,2004
,06JAN2004:13:00:00,06JAN2004,1,2004
,06JAN2004:14:00:00,06JAN2004,1,2004
2321,06JAN2004:15:00:00,06JAN2004,1,2004
,06JAN2004:16:00:00,06JAN2004,1,2004
,06JAN2004:17:00:00,06JAN2004,1,2004
,06JAN2004:18:00:00,06JAN2004,1,2004
264,06JAN2004:19:00:00,06JAN2004,1,2004
,06JAN2004:20:00:00,06JAN2004,1,2004
,07JAN2004:08:00:00,07JAN2004,1,2004
,07JAN2004:09:00:00,07JAN2004,1,2004
,07JAN2004:10:00:00,07JAN2004,1,2004
,07JAN2004:11:00:00,07JAN2004,1,2004
,07JAN2004:12:00:00,07JAN2004,1,2004
,07JAN2004:13:00:00,07JAN2004,1,2004
,07JAN2004:14:00:00,07JAN2004,1,2004
,07JAN2004:15:00:00,07JAN2004,1,2004
,07JAN2004:16:00:00,07JAN2004,1,2004
,07JAN2004:17:00:00,07JAN2004,1,2004
,07JAN2004:18:00:00,07JAN2004,1,2004
,07JAN2004:19:00:00,07JAN2004,1,2004
,07JAN2004:20:00:00,07JAN2004,1,2004
,08JAN2004:08:00:00,08JAN2004,1,2004
,08JAN2004:09:00:00,08JAN2004,1,2004
