TIMEID,CO2,Year_Month,Year,Month
MAY1974,333.13,1974.38,1974,5
JUN1974,332.09,1974.46,1974,6
JUL1974,331.1,1974.54,1974,7
AUG1974,329.14,1974.63,1974,8
SEP1974,327.36,1974.71,1974,9
OCT1974,327.29,1974.79,1974,10
NOV1974,328.23,1974.88,1974,11
DEC1974,329.55,1974.96,1974,12
JAN1975,330.62,1975.04,1975,1
FEB1975,331.4,1975.13,1975,2
MAR1975,331.87,1975.21,1975,3
APR1975,333.18,1975.29,1975,4
MAY1975,333.92,1975.38,1975,5
JUN1975,333.43,1975.46,1975,6
JUL1975,331.85,1975.54,1975,7
AUG1975,330.01,1975.63,1975,8
SEP1975,328.51,1975.71,1975,9
OCT1975,328.41,1975.79,1975,10
NOV1975,329.25,1975.88,1975,11
DEC1975,330.97,1975.96,1975,12
JAN1976,331.6,1976.04,1976,1
FEB1976,332.6,1976.13,1976,2
MAR1976,333.57,1976.21,1976,3
APR1976,334.72,1976.29,1976,4
MAY1976,334.68,1976.38,1976,5
JUN1976,334.17,1976.46,1976,6
JUL1976,332.96,1976.54,1976,7
AUG1976,330.8,1976.63,1976,8
SEP1976,328.98,1976.71,1976,9
OCT1976,328.57,1976.79,1976,10
NOV1976,330.2,1976.88,1976,11
DEC1976,331.58,1976.96,1976,12
JAN1977,332.67,1977.04,1977,1
FEB1977,333.17,1977.13,1977,2
MAR1977,334.86,1977.21,1977,3
APR1977,336.07,1977.29,1977,4
MAY1977,336.82,1977.38,1977,5
JUN1977,336.12,1977.46,1977,6
JUL1977,334.81,1977.54,1977,7
AUG1977,332.56,1977.63,1977,8
SEP1977,331.3,1977.71,1977,9
OCT1977,331.22,1977.79,1977,10
NOV1977,332.37,1977.88,1977,11
DEC1977,333.49,1977.96,1977,12
JAN1978,334.71,1978.04,1978,1
FEB1978,335.23,1978.13,1978,2
MAR1978,336.54,1978.21,1978,3
APR1978,337.79,1978.29,1978,4
MAY1978,337.95,1978.38,1978,5
JUN1978,338,1978.46,1978,6
