EDT,kW_Gen,Cloud_Cover
"Sun, 5 Oct 2014",0.5534101623,4.75
"Sun, 12 Oct 2014",0.4870931108,5.3435748302
"Sun, 19 Oct 2014",0.733748438,2.2857142857
"Sun, 26 Oct 2014",0.5312504099,4.915070616
"Sun, 2 Nov 2014",0.47105456,5.5191032609
"Sun, 9 Nov 2014",0.3941787277,5.7220910477
"Sun, 16 Nov 2014",0.3297397143,5.0208087132
"Sun, 23 Nov 2014",0.1882974858,6.5714285714
"Sun, 30 Nov 2014",0.261525583,6.0285185594
"Sun, 7 Dec 2014",0.3203839947,4.5232838941
"Sun, 14 Dec 2014",0.27252035,5.1967499832
"Sun, 21 Dec 2014",0.2318744831,6.2679345291
"Sun, 28 Dec 2014",0.1851007869,6.4007236448
"Sun, 4 Jan 2015",0.3390673748,4.4864504887
"Sun, 11 Jan 2015",0.2581842447,6.0822088118
"Sun, 18 Jan 2015",0.3689676671,5.2327308133
"Sun, 25 Jan 2015",0.4521575297,4.3945011266
"Sun, 1 Feb 2015",0.5235276839,5.0056142294
"Sun, 8 Feb 2015",0.4985587089,4.4897905403
"Sun, 15 Feb 2015",0.4224825526,4.7135760007
"Sun, 22 Feb 2015",0.17299999,6.5579212646
"Sun, 1 Mar 2015",0.4994984708,5.8161062352
"Sun, 8 Mar 2015",0.4607463169,6.2425259693
"Sun, 15 Mar 2015",0.6400241686,5.8226522717
"Sun, 22 Mar 2015",0.5941627683,5.9496761638
"Sun, 29 Mar 2015",0.8446479069,3.3049685394
"Sun, 5 Apr 2015",0.6629752623,6.010093227
"Sun, 12 Apr 2015",0.5012889146,6.1539091864
"Sun, 19 Apr 2015",0.6312348003,4.9402061825
"Sun, 26 Apr 2015",0.5728168875,5.4302086911
"Sun, 3 May 2015",0.7914127311,3.9700812896
"Sun, 10 May 2015",0.6849242869,5.5108133742
"Sun, 17 May 2015",0.7083748635,4.9016026505
"Sun, 24 May 2015",0.7057095344,4.3529190592
"Sun, 31 May 2015",0.4944598626,5.7308915233
"Sun, 7 Jun 2015",0.6963111411,4.5500637558
"Sun, 14 Jun 2015",0.7835210817,4.2154977289
"Sun, 21 Jun 2015",0.6669267417,4.9637984527
"Sun, 28 Jun 2015",0.6214375846,5.4354196842
"Sun, 5 Jul 2015",0.7013611328,4.1421313475
"Sun, 12 Jul 2015",0.5593143412,5.6072488809
"Sun, 19 Jul 2015",0.648016027,5.4060127692
